Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2018-12-03,2018,12,3,Monday,48,2018-48,43.15,43.67,41.83,42.51,89080400,42.21,0.04044556032094282,40.82857142857143,53.7922
2018-12-04,2018,12,4,Tuesday,48,2018-48,42.06,42.11,39.12,39.28,81211200,39.0,-0.07604095429889723,40.083571428571425,53.254400000000004
2018-12-06,2018,12,6,Thursday,48,2018-48,37.86,39.62,37.7,39.57,69230800,39.29,0.0075106137487515046,39.39714285714285,52.709
2018-12-07,2018,12,7,Friday,48,2018-48,39.62,39.72,36.4,36.9,68167600,36.64,-0.06747103026052503,38.42928571428571,52.118
2018-12-10,2018,12,10,Monday,49,2018-49,36.45,38.22,36.41,37.97,62947200,37.7,0.02879199329040172,38.20928571428572,51.5458
2018-12-11,2018,12,11,Tuesday,49,2018-49,38.89,38.97,36.25,37.05,67191200,36.79,-0.024166908775953178,38.27428571428572,50.887800000000006
2018-12-12,2018,12,12,Wednesday,49,2018-49,37.1,38.19,36.21,37.22,65413600,36.96,0.0047913085085002916,38.27357142857143,50.19179999999999
2018-12-13,2018,12,13,Thursday,49,2018-49,37.7,38.35,36.86,37.22,47138400,36.96,-6.739400589661493e-05,38.35,49.5102
2018-12-14,2018,12,14,Friday,49,2018-49,36.8,37.65,36.38,36.61,47182000,36.35,-0.016388168571922823,38.37785714285714,48.815200000000004
2018-12-17,2018,12,17,Monday,50,2018-50,36.31,37.04,35.31,35.9,66286800,35.64,-0.019597041172810914,38.212857142857146,48.142799999999994
2018-12-18,2018,12,18,Tuesday,50,2018-50,36.34,37.58,36.06,36.74,56437200,36.48,0.023401654697049246,38.09571428571429,47.534000000000006
2018-12-19,2018,12,19,Wednesday,50,2018-50,36.4,36.94,34.11,34.63,74536400,34.38,-0.05737018267797167,37.71642857142857,46.903400000000005
2018-12-20,2018,12,20,Thursday,50,2018-50,34.54,35.45,33.17,33.78,74958800,33.54,-0.024619044211341534,37.32214285714286,46.257200000000005
2018-12-21,2018,12,21,Friday,50,2018-50,34.04,34.38,32.12,32.39,86374000,32.16,-0.04093267779048104,36.721428571428575,45.6818
2018-12-24,2018,12,24,Monday,51,2018-51,31.62,32.49,31.12,31.77,46384000,31.55,-0.019217481051274965,35.96,45.14660000000001
2018-12-26,2018,12,26,Wednesday,51,2018-51,32.24,33.28,31.11,33.28,69510000,33.04,0.04737171601301027,35.534285714285716,44.5846
2018-12-27,2018,12,27,Thursday,51,2018-51,32.75,33.1,31.3,32.79,63704400,32.56,-0.014500511075732136,35.05357142857143,44.068400000000004
2018-12-28,2018,12,28,Friday,51,2018-51,33.0,34.35,32.58,33.41,62872800,33.18,0.018906802981224935,34.806428571428576,43.5128
2018-12-31,2018,12,31,Monday,52,2018-52,33.85,34.18,33.06,33.38,46514000,33.14,-0.0011223498125545461,34.480714285714285,42.9702
2019-01-02,2019,1,2,Wednesday,00,2019-00,32.66,34.62,32.51,34.06,50875200,33.81,0.02037464210155404,34.267857142857146,42.458400000000005
2019-01-03,2019,1,3,Thursday,00,2019-00,33.45,33.79,31.92,32.0,70555200,31.77,-0.06041722579973374,33.89714285714286,41.9572
2019-01-04,2019,1,4,Friday,00,2019-00,32.74,34.43,32.42,34.05,58562000,33.81,0.06406757277510722,33.67214285714285,41.486599999999996
2019-01-07,2019,1,7,Monday,01,2019-01,34.62,36.22,34.11,35.85,70916000,35.6,0.05294094083702561,33.61857142857143,41.1022
2019-01-08,2019,1,8,Tuesday,01,2019-01,36.67,36.69,34.22,34.96,78601600,34.71,-0.024895543418027022,33.55214285714286,40.8074
2019-01-09,2019,1,9,Wednesday,01,2019-01,35.47,36.12,34.97,35.65,61726000,35.39,0.019666825620483053,33.47428571428572,40.4844
2019-01-10,2019,1,10,Thursday,01,2019-01,35.45,36.4,34.84,36.31,52315600,36.05,0.018586167385335806,33.59357142857143,40.222
2019-01-11,2019,1,11,Friday,01,2019-01,36.08,37.44,35.8,37.21,87476400,36.94,0.024788179891967355,33.83642857142858,40.0402
2019-01-14,2019,1,14,Monday,02,2019-02,36.68,37.87,36.44,37.61,73016800,37.34,0.010817749009471855,34.206428571428575,39.78020000000001
2019-01-15,2019,1,15,Tuesday,02,2019-02,37.94,38.34,37.28,37.47,61701200,37.2,-0.0037888557933353217,34.61,39.4786
2019-01-16,2019,1,16,Wednesday,02,2019-02,37.74,38.08,37.15,37.21,47010400,36.95,-0.006872559064386996,34.88928571428572,39.135799999999996
2019-01-17,2019,1,17,Thursday,02,2019-02,36.88,38.33,36.6,37.93,49343600,37.66,0.01934936188384473,35.253571428571426,38.823
2019-01-18,2019,1,18,Friday,02,2019-02,38.43,39.49,37.91,39.23,65133600,38.95,0.03433963449035171,35.66571428571429,38.5516
2019-01-22,2019,1,22,Tuesday,03,2019-03,38.93,39.04,36.89,37.19,66155200,36.93,-0.051997793145157845,35.93642857142857,38.2434
