,Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,label,profit,if_over_5_pers
180,2017-09-20,2017,9,20,Wednesday,38,2017-38,46.88,47.35,46.05,46.46,72492000,45.97,-0.0080597035564695,42.77857142857143,41.3434,short,3.028761418640329,False
181,2017-09-21,2017,9,21,Thursday,38,2017-38,45.41,45.67,44.4,45.19,107560000,44.71,-0.0273354808103299,42.97857142857144,41.4344,short,0.3270120443254996,False
182,2017-09-22,2017,9,22,Friday,38,2017-38,45.08,45.58,44.65,44.75,49123200,44.28,-0.00973653812357,43.12928571428571,41.526,short,0.9371326053006328,False
183,2017-09-25,2017,9,25,Monday,39,2017-39,44.44,44.45,42.54,42.75,87458000,42.3,-0.0446926002619687,43.21928571428572,41.5566,short,-4.170942903634966,False
184,2017-09-26,2017,9,26,Tuesday,39,2017-39,44.11,44.67,42.59,42.99,112562000,42.54,0.0056139016187888,43.32785714285715,41.595600000000005,short,-2.7177426354793397,False
185,2017-09-27,2017,9,27,Wednesday,39,2017-39,43.9,44.07,43.19,43.93,71372000,43.47,0.021923645414293,43.489285714285714,41.6446,Long,0.23381004424970797,False
186,2017-09-28,2017,9,28,Thursday,39,2017-39,44.01,44.04,43.44,43.92,43524400,43.46,-0.0002843241562153,43.701428571428565,41.6978,short,-2.4420602636576234,False
187,2017-09-29,2017,9,29,Friday,39,2017-39,44.77,44.93,44.31,44.69,61909200,44.22,0.0175887826446927,43.87357142857143,41.7542,short,-1.42374274486518,False
188,2017-10-02,2017,10,2,Monday,40,2017-40,45.2,45.49,44.25,44.75,50348000,44.28,0.0012864264284935,44.03928571428571,41.8088,short,-0.16705058815135487,False
189,2017-10-03,2017,10,3,Tuesday,40,2017-40,44.81,45.15,44.4,44.84,39033200,44.37,0.0020670270545954,44.19857142857143,41.875,Long,0.16671529482096048,False
190,2017-10-04,2017,10,4,Wednesday,40,2017-40,44.9,45.44,44.53,45.22,42784800,44.74,0.0083625607564297,44.401428571428575,41.9524,Long,0.68973138152937,False
191,2017-10-05,2017,10,5,Thursday,40,2017-40,45.47,45.5,44.89,45.19,43736400,44.72,-0.0005528293968822,44.41357142857142,42.02,short,0.7821317352107968,False
192,2017-10-06,2017,10,6,Friday,40,2017-40,44.91,45.46,44.75,45.33,31880000,44.85,0.0029319406565451,44.30357142857143,42.1176,Long,1.0303391992251534,False
