Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2020-04-09,2020,4,9,Thursday,14,2020-14,277.58,281.2,275.47,278.2,189999200,267.99,0.01521714425303844,246.0064285714286,278.599
2020-04-13,2020,4,13,Monday,15,2020-15,277.14,277.51,271.41,275.66,114839100,265.54,-0.009129787421816915,249.63285714285715,277.6336
2020-04-14,2020,4,14,Tuesday,15,2020-15,280.98,284.9,275.51,283.79,134143400,273.37,0.029492942550436663,252.42857142857142,276.93879999999996
2020-04-15,2020,4,15,Wednesday,15,2020-15,277.57,283.94,275.46,277.76,121775000,267.57,-0.02124832648260555,254.56,276.0822
2020-04-16,2020,4,16,Thursday,15,2020-15,279.15,280.03,275.76,279.1,131798300,268.86,0.0048242458473186645,255.79214285714286,275.1568
2020-04-17,2020,4,17,Friday,15,2020-15,285.38,287.3,282.4,286.64,146684800,276.12,0.02701544912334275,258.07785714285717,274.3038
2020-04-20,2020,4,20,Monday,16,2020-16,282.61,286.79,281.35,281.59,100109300,271.25,-0.017617923652458956,259.44928571428574,273.332
2020-04-21,2020,4,21,Tuesday,16,2020-16,276.73,278.04,272.02,273.04,126385700,263.02,-0.03036333646585132,260.50142857142856,272.2296
2020-04-22,2020,4,22,Wednesday,16,2020-16,278.35,281.0,276.91,279.1,92951600,268.86,0.02219455853555785,262.7685714285714,271.1966
2020-04-23,2020,4,23,Thursday,16,2020-16,280.49,283.94,278.75,279.08,104709700,268.84,-7.173759929901546e-05,264.6435714285714,270.152
2020-04-24,2020,4,24,Friday,16,2020-16,280.73,283.7,278.5,282.97,85063200,272.58,0.013938752809120158,267.0364285714286,269.14079999999996
2020-04-27,2020,4,27,Monday,17,2020-17,285.12,288.27,284.62,287.05,77896600,276.51,0.01441853784179048,268.5628571428571,268.2152
2020-04-28,2020,4,28,Tuesday,17,2020-17,291.02,291.4,285.4,285.73,105270000,275.24,-0.004598585339312233,269.98,267.2538
2020-04-29,2020,4,29,Wednesday,17,2020-17,291.53,294.88,290.41,293.21,118745600,282.45,0.026178704165785716,271.3,266.4534
2020-04-30,2020,4,30,Thursday,17,2020-17,291.71,293.32,288.59,290.48,122901700,279.82,-0.009310908495081649,272.145,265.56940000000003
2020-05-01,2020,5,1,Friday,17,2020-17,285.31,290.66,281.52,282.79,125180000,272.41,-0.026473378297407257,272.6357142857143,264.5638
2020-05-04,2020,5,4,Monday,18,2020-18,280.74,283.9,279.13,283.57,80873200,273.16,0.0027582348506856036,272.6207142857143,263.6398
2020-05-05,2020,5,5,Tuesday,18,2020-18,286.64,289.25,283.71,286.19,79569900,275.69,0.009239321450987159,273.2007142857143,262.9782
2020-05-06,2020,5,6,Wednesday,18,2020-18,288.04,288.46,283.78,284.25,73632600,273.82,-0.006778630598394897,273.555,262.4664
2020-05-07,2020,5,7,Thursday,18,2020-18,287.75,289.78,287.13,287.68,75250400,277.12,0.012066830821068075,273.62642857142856,262.0426
2020-05-08,2020,5,8,Friday,18,2020-18,291.09,292.95,289.86,292.44,76452400,281.71,0.01654616221892624,274.37357142857144,261.9784
2020-05-11,2020,5,11,Monday,19,2020-19,290.34,294.0,289.88,292.5,79514200,281.76,0.00020517893737470594,275.71214285714285,261.9392
2020-05-12,2020,5,12,Tuesday,19,2020-19,293.79,294.24,286.52,286.67,95870800,276.15,-0.019931633325791398,276.23285714285714,261.54200000000003
2020-05-13,2020,5,13,Wednesday,19,2020-19,286.06,287.19,278.96,281.6,144721100,271.26,-0.01768581259355484,276.4057142857143,261.21659999999997
2020-05-14,2020,5,14,Thursday,19,2020-19,278.95,285.11,272.99,284.97,121977900,274.51,0.011967196018269677,276.54357142857145,260.7144
